,,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
867,866.0,834,Jonny Evans,nir NIR,DF,Manchester Utd,eng Premier League,35,1988,15.5,0,1,0,0.0,0.06,0.00,0.00,,5.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
868,867.0,835,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,eng Premier League,25,1998,22.8,11,82,33,40.2,3.59,1.45,0.12,0.30,20.7,12,1,1,9.1,8.3,0.10,+1.9,+1.7,Matches
869,868.0,836,Abdessamad Ezzalzouli,ma MAR,"FW,MF",Barcelona,es La Liga,21,2001,0.8,0,4,1,25.0,5.29,1.32,0.00,0.00,19.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
870,869.0,837,Abdessamad Ezzalzouli,ma MAR,FW,Betis,es La Liga,21,2001,9.6,1,33,8,24.2,3.43,0.83,0.03,0.13,17.8,0,0,1,3.0,2.2,0.07,-2.0,-1.2,Matches
871,870.0,838,Giovanni Fabbian,it ITA,"MF,FW",Bologna,it Serie A,20,2003,11.7,5,28,10,35.7,2.38,0.85,0.18,0.50,14.5,0,0,0,4.2,4.2,0.15,+0.8,+0.8,Matches
872,871.0,839,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,38,1985,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
873,872.0,840,Nicolò Fagioli,it ITA,MF,Juventus,it Serie A,22,2001,4.9,0,6,2,33.3,1.24,0.41,0.00,0.00,20.1,1,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
874,873.0,841,Romain Faivre,fr FRA,"MF,FW",Bournemouth,eng Premier League,25,1998,0.5,0,2,0,0.0,4.39,0.00,0.00,,17.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
875,874.0,842,Romain Faivre,fr FRA,"MF,FW",Lorient,fr Ligue 1,25,1998,16.1,5,27,10,37.0,1.67,0.62,0.19,0.50,19.0,1,0,0,2.8,2.8,0.10,+2.2,+2.2,Matches
876,875.0,843,Ilhan Fakili,fr FRA,"MF,FW",Clermont Foot,fr Ligue 1,17,2006,1.0,0,4,2,50.0,3.83,1.91,0.00,0.00,22.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
877,876.0,844,Radamel Falcao,co COL,"FW,DF",Rayo Vallecano,es La Liga,37,1986,4.5,1,16,6,37.5,3.54,1.33,0.00,0.00,14.5,0,1,1,2.7,2.0,0.12,-1.7,-2.0,Matches
878,877.0,845,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,28,1995,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
879,878.0,846,Fali,es ESP,DF,Cádiz,es La Liga,29,1993,28.3,0,11,3,27.3,0.39,0.11,0.00,0.00,15.6,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches
880,879.0,847,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,31,1991,6.7,0,7,1,14.3,1.05,0.15,0.00,0.00,17.0,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
881,880.0,848,Davide Faraoni,it ITA,DF,Fiorentina,it Serie A,31,1991,4.4,0,3,1,33.3,0.69,0.23,0.00,0.00,18.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
882,881.0,849,Ansu Fati,es ESP,"MF,FW",Brighton,eng Premier League,20,2002,5.8,2,26,11,42.3,4.49,1.90,0.08,0.18,14.6,0,0,0,3.4,3.4,0.13,-1.4,-1.4,Matches
883,882.0,850,Ansu Fati,es ESP,"MF,FW",Barcelona,es La Liga,20,2002,0.6,0,7,1,14.3,12.60,1.80,0.00,0.00,18.6,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches
884,883.0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
885,884.0,851,Khalil Fayad,fr FRA,"FW,MF",Montpellier,fr Ligue 1,19,2004,11.4,3,17,7,41.2,1.49,0.61,0.18,0.43,18.9,1,0,0,1.9,1.9,0.11,+1.1,+1.1,Matches
886,885.0,852,Federico Fazio,ar ARG,DF,Salernitana,it Serie A,36,1987,15.1,1,8,2,25.0,0.53,0.13,0.13,0.50,11.5,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
887,886.0,853,Jacopo Fazzini,it ITA,MF,Empoli,it Serie A,20,2003,13.7,1,23,4,17.4,1.68,0.29,0.04,0.25,19.8,2,0,0,1.2,1.2,0.05,-0.2,-0.2,Matches
888,887.0,854,Nabil Fekir,fr FRA,"MF,FW",Betis,es La Liga,30,1993,11.7,1,28,7,25.0,2.40,0.60,0.04,0.14,19.2,6,0,0,2.2,2.2,0.08,-1.2,-1.2,Matches
889,888.0,855,Felipe,br BRA,DF,Nott'ham Forest,eng Premier League,34,1989,4.2,0,3,0,0.0,0.72,0.00,0.00,,16.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
890,889.0,856,Luiz Felipe,it ITA,DF,Betis,es La Liga,26,1997,4.0,0,2,0,0.0,0.50,0.00,0.00,,10.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
891,890.0,857,João Félix,pt POR,FW,Barcelona,es La Liga,23,1999,17.1,7,61,25,41.0,3.56,1.46,0.11,0.28,15.8,1,0,0,8.7,8.7,0.14,-1.7,-1.7,Matches
892,891.0,858,Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,25,1997,32.5,2,13,3,23.1,0.40,0.09,0.15,0.67,9.2,0,0,0,1.4,1.4,0.11,+0.6,+0.6,Matches
893,892.0,859,Kiko Femenía,es ESP,DF,Villarreal,es La Liga,32,1991,17.6,0,1,0,0.0,0.06,0.00,0.00,,51.1,1,0,0,0.0,0.0,0.01,0.0,0.0,Matches
894,893.0,860,Evan Ferguson,ie IRL,FW,Brighton,eng Premier League,18,2004,15.2,6,33,20,60.6,2.17,1.32,0.18,0.30,15.5,0,0,0,4.6,4.6,0.14,+1.4,+1.4,Matches
895,894.0,861,Lewis Ferguson,sct SCO,MF,Bologna,it Serie A,23,1999,30.1,6,60,20,33.3,1.99,0.66,0.10,0.30,16.0,0,0,0,5.4,5.4,0.09,+0.6,+0.6,Matches
896,895.0,862,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,eng Premier League,28,1994,34.6,10,90,35,38.9,2.60,1.01,0.07,0.17,22.8,11,4,5,10.0,6.1,0.07,0.0,-0.1,Matches
897,896.0,863,Edimilson Fernandes,ch SUI,DF,Mainz 05,de Bundesliga,27,1996,14.3,0,15,0,0.0,1.05,0.00,0.00,,26.8,3,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
898,897.0,864,Aitor Fernández,es ESP,GK,Osasuna,es La Liga,32,1991,6.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
899,898.0,865,Álex Fernández,es ESP,MF,Cádiz,es La Liga,30,1992,14.3,0,7,1,14.3,0.49,0.07,0.00,0.00,24.0,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
900,899.0,866,Carlos Fernández,es ESP,FW,Real Sociedad,es La Liga,27,1996,4.5,2,8,3,37.5,1.76,0.66,0.13,0.33,15.1,0,1,1,1.5,0.7,0.09,+0.5,+0.3,Matches
901,900.0,867,Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,22,2001,24.5,3,45,13,28.9,1.83,0.53,0.04,0.15,21.3,2,1,2,6.2,4.6,0.10,-3.2,-2.6,Matches
902,901.0,868,Raúl Fernández,es ESP,GK,Granada,es La Liga,35,1988,3.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
903,902.0,869,Valery Fernández,es ESP,"MF,FW",Girona,es La Liga,23,1999,5.6,2,5,2,40.0,0.89,0.36,0.40,1.00,18.9,0,0,0,0.7,0.7,0.14,+1.3,+1.3,Matches
904,903.0,870,Fernando,es ESP,GK,Almería,es La Liga,33,1990,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
905,904.0,871,Fernando,br BRA,MF,Sevilla,es La Liga,36,1987,5.1,0,1,0,0.0,0.20,0.00,0.00,,16.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
906,905.0,872,Ichem Ferrah,fr FRA,FW,Lille,fr Ligue 1,17,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
907,906.0,873,Andrea Ferraris,it ITA,MF,Monza,it Serie A,20,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
908,907.0,874,André Ferreira,pt POR,GK,Granada,es La Liga,27,1996,14.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
909,908.0,875,João Ferreira,pt POR,DF,Udinese,it Serie A,22,2001,20.2,0,3,0,0.0,0.15,0.00,0.00,,17.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
910,909.0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
911,910.0,876,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,31,1992,22.6,1,9,1,11.1,0.40,0.04,0.11,1.00,22.0,1,0,0,0.6,0.6,0.07,+0.4,+0.4,Matches
912,911.0,877,Nacho Ferri,es ESP,"FW,MF",Eint Frankfurt,de Bundesliga,18,2004,0.8,1,5,2,40.0,6.08,2.43,0.20,0.50,16.4,0,0,0,1.2,1.2,0.24,-0.2,-0.2,Matches
913,912.0,878,Rachad Fettal,ma MAR,FW,Almería,es La Liga,18,2005,0.2,0,1,0,0.0,5.29,0.00,0.00,,8.8,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
914,913.0,879,Seydou Fini,it ITA,"DF,FW",Genoa,it Serie A,17,2006,0.4,0,2,0,0.0,5.14,0.00,0.00,,18.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
915,914.0,880,Max Finkgräfe,de GER,"DF,FW",Köln,de Bundesliga,19,2004,19.5,1,12,4,33.3,0.62,0.21,0.08,0.25,21.8,2,0,0,1.0,1.0,0.09,0.0,0.0,Matches
916,915.0,881,Vincenzo Fiorillo,it ITA,GK,Salernitana,it Serie A,33,1990,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
917,916.0,882,Kilian Fischer,de GER,"DF,MF",Wolfsburg,de Bundesliga,22,2000,3.2,0,4,0,0.0,1.24,0.00,0.00,,18.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
918,917.0,883,John Fleck,sct SCO,"MF,DF",Sheffield Utd,eng Premier League,31,1991,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
919,918.0,884,Mark Flekken,nl NED,GK,Brentford,eng Premier League,30,1993,36.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
920,919.0,885,Alessandro Florenzi,it ITA,DF,Milan,it Serie A,32,1991,19.2,1,32,10,31.3,1.66,0.52,0.03,0.10,25.4,4,0,0,1.7,1.7,0.05,-0.7,-0.7,Matches
921,920.0,886,Phil Foden,eng ENG,"FW,MF",Manchester City,eng Premier League,23,2000,31.7,19,105,48,45.7,3.31,1.51,0.18,0.40,18.5,4,0,0,10.3,10.3,0.10,+8.7,+8.7,Matches
922,921.0,887,Wes Foderingham,eng ENG,GK,Sheffield Utd,eng Premier League,32,1991,29.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
923,922.0,888,Malick Fofana,be BEL,FW,Lyon,fr Ligue 1,18,2005,6.2,3,9,7,77.8,1.45,1.13,0.33,0.43,14.2,0,0,0,1.8,1.8,0.20,+1.2,+1.2,Matches
924,923.0,889,Youssouf Fofana,fr FRA,MF,Monaco,fr Ligue 1,24,1999,30.0,4,52,13,25.0,1.74,0.43,0.08,0.31,19.6,0,0,0,5.0,5.0,0.10,-1.0,-1.0,Matches
925,924.0,890,Jonas Föhrenbach,de GER,DF,Heidenheim,de Bundesliga,27,1996,31.0,0,12,0,0.0,0.39,0.00,0.00,,20.8,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
926,925.0,891,Thomas Foket,be BEL,DF,Reims,fr Ligue 1,28,1994,20.4,0,3,0,0.0,0.15,0.00,0.00,,15.6,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
927,926.0,892,Michael Folorunsho,it ITA,"MF,FW",Hellas Verona,it Serie A,25,1998,30.9,5,47,14,29.8,1.52,0.45,0.11,0.36,19.8,0,0,0,4.0,3.9,0.08,+1.0,+1.1,Matches
928,927.0,893,Tiago Fonseca Morais,pt POR,FW,Lille,fr Ligue 1,19,2003,0.5,0,1,0,0.0,1.96,0.00,0.00,,13.0,0,0,0,0.4,0.4,0.36,-0.4,-0.4,Matches
929,928.0,894,Pablo Fornals,es ESP,"MF,FW",West Ham,eng Premier League,27,1996,4.7,0,7,3,42.9,1.48,0.63,0.00,0.00,20.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
930,929.0,895,Pablo Fornals,es ESP,"FW,MF",Betis,es La Liga,27,1996,12.8,3,17,5,29.4,1.33,0.39,0.18,0.60,18.2,0,0,0,1.8,1.8,0.11,+1.2,+1.2,Matches
931,930.0,896,Emil Forsberg,se SWE,"MF,FW",RB Leipzig,de Bundesliga,31,1991,5.2,2,11,4,36.4,2.13,0.78,0.18,0.50,22.5,1,0,1,1.4,0.6,0.05,+0.6,+1.4,Matches
932,931.0,897,Omari Forson,eng ENG,FW,Manchester Utd,eng Premier League,19,2004,0.8,0,1,0,0.0,1.29,0.00,0.00,,21.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
933,932.0,898,Philipp Förster,de GER,"MF,FW",Bochum,de Bundesliga,28,1995,4.3,0,6,1,16.7,1.40,0.23,0.00,0.00,19.8,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
934,933.0,899,Héctor Fort,es ESP,DF,Barcelona,es La Liga,16,2006,3.5,0,1,0,0.0,0.28,0.00,0.00,,27.2,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
935,934.0,900,Lyle Foster,za RSA,"FW,MF",Burnley,eng Premier League,22,2000,21.1,5,34,16,47.1,1.61,0.76,0.15,0.31,14.6,0,0,0,4.5,4.5,0.13,+0.5,+0.5,Matches
936,935.0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
937,936.0,901,Dimitri Foulquier,fr FRA,"DF,MF",Valencia,es La Liga,30,1993,20.5,0,7,1,14.3,0.34,0.05,0.00,0.00,16.9,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
938,937.0,902,Juan Foyth,ar ARG,DF,Villarreal,es La Liga,25,1998,11.8,1,6,2,33.3,0.51,0.17,0.17,0.50,12.8,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches
939,938.0,903,Matheus França,br BRA,"MF,FW",Crystal Palace,eng Premier League,19,2004,2.6,0,8,2,25.0,3.10,0.78,0.00,0.00,21.8,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
940,939.0,904,Bartol Franjić,hr CRO,MF,Darmstadt 98,de Bundesliga,23,2000,13.7,0,4,0,0.0,0.29,0.00,0.00,,18.3,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
941,940.0,905,Przemysław Frankowski,pl POL,DF,Lens,fr Ligue 1,28,1995,24.4,3,29,8,27.6,1.19,0.33,0.07,0.25,21.7,2,1,2,3.7,2.1,0.08,-0.7,-0.1,Matches
942,941.0,906,Nathan Fraser,ie IRL,FW,Wolves,eng Premier League,18,2005,2.1,0,3,2,66.7,1.45,0.97,0.00,0.00,16.6,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
943,942.0,907,Davide Frattesi,it ITA,MF,Inter,it Serie A,23,1999,10.6,6,32,13,40.6,3.02,1.23,0.19,0.46,11.4,0,0,0,7.1,7.1,0.22,-1.1,-1.1,Matches
944,943.0,908,Jean Frederic N'Guessan,ci CIV,"MF,FW",Metz,fr Ligue 1,20,2003,1.2,0,3,1,33.3,2.45,0.82,0.00,0.00,28.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
945,944.0,909,Morten Frendrup,dk DEN,MF,Genoa,it Serie A,22,2001,34.9,2,30,4,13.3,0.86,0.11,0.07,0.50,20.5,0,0,0,1.7,1.7,0.06,+0.3,+0.3,Matches
946,945.0,910,Remo Freuler,ch SUI,MF,Bologna,it Serie A,31,1992,29.2,1,14,4,28.6,0.48,0.14,0.07,0.25,17.4,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
947,946.0,911,Marco Friedl,at AUT,DF,Werder Bremen,de Bundesliga,25,1998,24.4,1,7,1,14.3,0.29,0.04,0.14,1.00,25.1,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
948,947.0,912,Marvin Friedrich,de GER,DF,Gladbach,de Bundesliga,27,1995,17.4,0,12,2,16.7,0.69,0.11,0.00,0.00,15.7,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
949,948.0,913,Jeremie Frimpong,nl NED,DF,Leverkusen,de Bundesliga,22,2000,25.0,9,55,21,38.2,2.20,0.84,0.16,0.43,13.9,0,0,0,8.2,8.2,0.15,+0.8,+0.8,Matches
950,949.0,914,Jorge de Frutos,es ESP,"FW,MF",Rayo Vallecano,es La Liga,26,1997,17.2,2,29,11,37.9,1.68,0.64,0.07,0.18,17.8,0,0,0,2.6,2.6,0.09,-0.6,-0.6,Matches
951,950.0,915,Chris Führich,de GER,"FW,MF",Stuttgart,de Bundesliga,25,1998,28.5,8,53,24,45.3,1.86,0.84,0.15,0.33,17.7,2,0,1,6.6,5.8,0.11,+1.4,+2.2,Matches
952,951.0,916,Shiō Fukuda,jp JPN,"FW,MF",Gladbach,de Bundesliga,19,2004,0.4,0,2,0,0.0,5.00,0.00,0.00,,8.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
953,952.0,917,Angelo Fulgini,fr FRA,MF,Lens,fr Ligue 1,26,1996,15.3,1,46,10,21.7,3.01,0.65,0.02,0.10,19.0,7,0,0,3.2,3.2,0.07,-2.2,-2.2,Matches
954,953.0,918,Niclas Füllkrug,de GER,FW,Werder Bremen,de Bundesliga,30,1993,2.0,0,5,1,20.0,2.50,0.50,0.00,0.00,15.6,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
955,954.0,919,Niclas Füllkrug,de GER,FW,Dortmund,de Bundesliga,30,1993,24.6,12,50,23,46.0,2.03,0.94,0.18,0.39,12.2,0,3,3,12.4,10.0,0.20,-0.4,-1.0,Matches
956,955.0,920,Gerardo Fusco,it ITA,FW,Salernitana,it Serie A,18,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
957,956.0,921,Daniel Fuzato,br BRA,GK,Getafe,es La Liga,26,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
958,957.0,922,Matteo Gabbia,it ITA,DF,Milan,it Serie A,23,1999,14.2,2,11,5,45.5,0.78,0.35,0.18,0.40,12.4,0,0,0,1.6,1.6,0.14,+0.4,+0.4,Matches
959,958.0,923,Matteo Gabbia,it ITA,DF,Villarreal,es La Liga,23,1999,5.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
960,959.0,924,Gianluca Gaetano,it ITA,"FW,MF",Cagliari,it Serie A,23,2000,8.3,4,13,5,38.5,1.57,0.60,0.23,0.60,22.5,0,1,1,1.3,0.5,0.04,+2.7,+2.5,Matches
961,960.0,925,Gianluca Gaetano,it ITA,MF,Napoli,it Serie A,23,2000,1.8,1,9,4,44.4,5.03,2.24,0.11,0.25,22.2,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Matches
962,961.0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
963,962.0,926,Roberto Gagliardini,it ITA,"MF,DF",Monza,it Serie A,29,1994,26.2,1,36,9,25.0,1.37,0.34,0.03,0.11,17.8,1,0,0,2.9,2.9,0.08,-1.9,-1.9,Matches
964,963.0,927,Cody Gakpo,nl NED,"FW,MF",Liverpool,eng Premier League,24,1999,18.3,8,66,24,36.4,3.60,1.31,0.12,0.33,15.4,0,0,0,9.0,9.0,0.14,-1.0,-1.0,Matches
965,964.0,928,Javi Galán,es ESP,DF,Atlético Madrid,es La Liga,28,1994,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
966,965.0,929,Javi Galán,es ESP,DF,Real Sociedad,es La Liga,28,1994,11.9,0,3,1,33.3,0.25,0.08,0.00,0.00,20.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
967,966.0,930,Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,es La Liga,29,1993,23.2,1,11,2,18.2,0.47,0.09,0.09,0.50,25.4,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
968,967.0,931,Pablo Galdames Millán,cl CHI,"MF,DF",Genoa,it Serie A,26,1996,0.1,0,1,1,100.0,8.18,8.18,0.00,0.00,14.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
969,968.0,932,Conor Gallagher,eng ENG,MF,Chelsea,eng Premier League,23,2000,34.8,5,48,17,35.4,1.38,0.49,0.10,0.29,20.4,0,0,0,4.2,4.2,0.09,+0.8,+0.8,Matches
970,969.0,933,Antonino Gallo,it ITA,DF,Lecce,it Serie A,23,2000,27.7,0,15,3,20.0,0.54,0.11,0.00,0.00,22.0,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
971,970.0,934,Cristian Gamboa,cr CRC,DF,Bochum,de Bundesliga,33,1989,13.2,0,6,1,16.7,0.45,0.08,0.00,0.00,31.2,0,0,0,0.1,0.1,0.01,-0.1,-0.1,Matches
972,971.0,935,Kévin Gameiro,fr FRA,"FW,MF",Strasbourg,fr Ligue 1,36,1987,15.0,4,27,10,37.0,1.81,0.67,0.07,0.20,19.8,1,2,2,3.4,1.9,0.07,+0.6,+0.1,Matches
973,972.0,936,Idrissa Gana Gueye,sn SEN,MF,Everton,eng Premier League,33,1989,20.9,4,26,7,26.9,1.24,0.33,0.15,0.57,22.2,1,0,0,1.3,1.3,0.05,+2.7,+2.7,Matches
974,973.0,937,Ignatius Ganago,cm CMR,"FW,MF",Nantes,fr Ligue 1,24,1999,2.0,0,6,0,0.0,2.93,0.00,0.00,,10.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
975,974.0,938,Aleix García,es ESP,MF,Girona,es La Liga,26,1997,35.5,3,39,12,30.8,1.10,0.34,0.08,0.25,26.4,8,0,0,1.8,1.8,0.05,+1.2,+1.2,Matches
976,975.0,939,Álvaro García,es ESP,"FW,MF",Rayo Vallecano,es La Liga,30,1992,27.5,6,45,17,37.8,1.64,0.62,0.13,0.35,16.0,0,0,0,6.2,6.2,0.14,-0.2,-0.2,Matches
977,976.0,940,Dani García,es ESP,MF,Athletic Club,es La Liga,33,1990,8.3,1,6,3,50.0,0.72,0.36,0.17,0.33,13.6,0,0,0,0.8,0.8,0.13,+0.2,+0.2,Matches
978,977.0,941,David García,es ESP,DF,Osasuna,es La Liga,29,1994,25.9,0,15,2,13.3,0.58,0.08,0.00,0.00,9.8,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches
979,978.0,942,Eric García,es ESP,DF,Barcelona,es La Liga,22,2001,0.6,0,1,0,0.0,1.58,0.00,0.00,,11.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
980,979.0,943,Eric García,es ESP,DF,Girona,es La Liga,22,2001,29.3,5,16,6,37.5,0.55,0.20,0.31,0.83,9.4,0,0,0,2.8,2.8,0.18,+2.2,+2.2,Matches
981,980.0,944,Fran Garcia,es ESP,DF,Real Madrid,es La Liga,23,1999,15.5,1,9,1,11.1,0.58,0.06,0.11,1.00,20.9,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
982,981.0,945,Francisco Jesús Crespo García,es ESP,FW,Las Palmas,es La Liga,27,1996,5.6,2,17,8,47.1,3.04,1.43,0.12,0.25,22.2,0,0,0,1.3,1.3,0.08,+0.7,+0.7,Matches
983,982.0,946,Gonzalo García,es ESP,"FW,MF",Real Madrid,es La Liga,19,2004,0.2,0,1,1,100.0,4.74,4.74,0.00,0.00,19.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
984,983.0,947,Jastin García,es ESP,FW,Girona,es La Liga,19,2004,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
985,984.0,948,Raúl García,es ESP,"FW,MF",Athletic Club,es La Liga,37,1986,4.7,1,10,1,10.0,2.14,0.21,0.10,1.00,14.3,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
986,985.0,949,Rubén García,es ESP,"FW,MF",Osasuna,es La Liga,30,1993,17.2,3,28,10,35.7,1.63,0.58,0.11,0.30,18.0,3,0,0,2.3,2.3,0.08,+0.7,+0.7,Matches
987,986.0,950,Santiago García,,FW,Getafe,es La Liga,21,2001,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
988,987.0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
989,988.0,951,Ulisses Garcia,ch SUI,DF,Marseille,fr Ligue 1,27,1996,10.1,0,11,5,45.5,1.09,0.50,0.00,0.00,24.0,1,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
990,989.0,952,Unai García,es ESP,DF,Osasuna,es La Liga,31,1992,6.2,1,2,1,50.0,0.32,0.16,0.50,1.00,14.4,0,0,0,0.1,0.1,0.06,+0.9,+0.9,Matches
991,990.0,953,Alejandro Garnacho,ar ARG,FW,Manchester Utd,eng Premier League,19,2004,28.5,7,100,27,27.0,3.51,0.95,0.07,0.26,15.8,0,0,0,8.4,8.3,0.08,-1.4,-1.3,Matches
992,991.0,954,James Garner,eng ENG,MF,Everton,eng Premier League,22,2001,33.4,1,41,10,24.4,1.23,0.30,0.02,0.10,22.1,5,0,0,2.7,2.7,0.07,-1.7,-1.7,Matches
993,992.0,955,Luca Garritano,it ITA,"MF,DF",Frosinone,it Serie A,29,1994,5.4,0,12,3,25.0,2.23,0.56,0.00,0.00,18.9,1,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
994,993.0,956,Johan Gastien,fr FRA,MF,Clermont Foot,fr Ligue 1,35,1988,25.1,0,12,5,41.7,0.48,0.20,0.00,0.00,26.8,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
